Destination_Control_V12SP6_German.zip,131,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_French.zip,132,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Dutch.zip,133,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Czech.zip,134,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Spanish.zip,135,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Hungarian.zip,136,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Italian.zip,137,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Norwegian.zip,138,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Polish.zip,139,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Portuguese.zip,140,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Portuguese-Brazilian.zip,141,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Romanian.zip,142,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Swedish.zip,143,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Turkish.zip,144,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
Destination_Control_V12SP6_Chinese-Simplified.zip,145,1.325,2,9,10,11,12,13,14,15,19,20,21,22,25,27,31,32,33,34,35,36,74,78,123,127,130,150,151,162,163
